case_date,fuerte,origin,confirmer,t1_group,t1_pos_fuerte,first_t1_companion,first_t1_dist,first_t1_pos,first_t1_day,first_t1_lottery,first_t1_draw_position,first_related,first_related_primary,first_related_day,other_fuertes
2021-07-20,52,38,85,20|31|47|52|63|100,4,31,-2,2,1,Gana Mas,3,30,RELACION_DE_TERCER_NIVEL,1,
2021-07-22,58,46,94,37|58|74|90,2,90,2,4,2,Gana Mas,2,70,RELACION_DE_SEGUNDO_NIVEL,1,
2021-08-09,84,47,58,4|36|68|79|84,5,4,-4,1,1,New York 10:30,3,42,RELACION_DE_TERCER_NIVEL,1,
2021-08-10,29,41,42,13|29|93,2,13,-1,1,3,Loteria Nacional,3,49,RELACION_DE_TERCER_NIVEL,1,7|23|53|71
2021-08-13,44,43,22,12|28|44|60|81|92,3,12,-2,1,1,Quiniela Loteka,3,80,CANDIDATO_ORIGINAL_ALTERNATIVO,1,32
2021-08-24,46,39,19,9|14|30|41|46|62|78|94,5,62,1,6,1,New York 2:30,1,90,RELACION_DE_SEGUNDO_NIVEL,1,
2021-08-26,42,37,7,5|10|42,3,,,,,,,71,COMPANERO_DEL_CONFIRMADOR,1,8|72
2021-09-06,22,44,9,22|59|70|75|91,1,70,2,3,1,New York 2:30,3,35,MISMO_GRUPO_T2,1,35|59|70
2021-09-08,44,43,70,12|28|44|60|81|92,3,60,1,4,3,Quiniela Real,3,7,MISMO_GRUPO_T2,1,92
2021-09-08,92,43,68,12|28|44|60|81|92,6,60,-2,4,3,Quiniela Real,3,7,RELACION_DE_SEGUNDO_NIVEL,1,44
2021-09-12,73,48,87,73|89,1,,,,,,,63,RELACION_DE_TERCER_NIVEL,1,7|23
2021-09-18,97,52,93,65|97,2,65,-1,1,3,Quiniela Real,1,17,RELACION_DE_TERCER_NIVEL,1,63|100
2021-09-18,100,38,1,20|31|47|52|63|100,6,47,-3,3,3,Loteria Nacional,3,17,COMPANERO_DEL_CONFIRMADOR,1,63|97
2021-09-19,13,41,17,13|29|93,1,93,2,3,3,Gana Mas,2,85,RELACION_DE_TERCER_NIVEL,1,29
