case_date,fuerte,origin,confirmer,n_confirmers,n_fuertes_same_day,all_fuertes,t1_pos_fuerte,fuerte_appeared,first_day_offset
2021-04-17,26,28,59,1,5,7|23|26|53|90,2,True,4
2021-04-17,53,28,22,2,5,7|23|26|53|90,3,True,6
2021-04-17,90,46,22,2,5,7|23|26|53|90,4,True,1
2021-04-20,6,35,60,1,6,6|22|29|70|89|93,1,True,7
2021-04-20,22,44,35,1,6,6|22|29|70|89|93,1,True,4
2021-04-20,29,41,35,2,6,6|22|29|70|89|93,2,True,2
2021-04-20,70,44,35,1,6,6|22|29|70|89|93,3,True,5
2021-04-20,89,48,41,1,6,6|22|29|70|89|93,2,True,4
2021-04-20,93,41,48,1,6,6|22|29|70|89|93,3,True,2
2021-04-23,12,43,56,1,3,12|44|63,1,False,
2021-04-23,44,43,53,1,3,12|44|63,3,False,
2021-04-23,63,38,53,1,3,12|44|63,5,True,6
2021-04-24,9,39,29,1,2,9|41,1,True,2
2021-04-24,41,39,71,1,2,9|41,4,False,
2021-04-29,9,39,53,2,3,9|20|63,1,True,4
2021-04-29,20,38,2,1,3,9|20|63,1,True,1
2021-04-29,63,38,53,1,3,9|20|63,5,True,2
2021-04-30,9,39,70,1,3,9|42|82,1,True,3
2021-04-30,42,37,70,1,3,9|42|82,3,True,6
2021-04-30,82,33,37,1,3,9|42|82,3,False,
2021-05-03,35,49,53,1,3,35|56|69,1,False,
2021-05-03,56,40,12,1,3,35|56|69,4,False,
2021-05-03,69,45,57,1,3,35|56|69,1,True,2
2021-05-10,31,38,74,1,2,31|76,2,True,4
2021-05-10,76,34,27,1,2,31|76,5,False,
2021-05-11,12,43,41,1,4,12|29|44|81,1,True,5
2021-05-11,29,41,70,1,4,12|29|44|81,2,True,6
2021-05-11,44,43,70,1,4,12|29|44|81,3,True,4
2021-05-11,81,43,52,1,4,12|29|44|81,5,True,1
2021-05-13,1,34,10,1,2,1|76,1,True,5
2021-05-13,76,34,68,1,2,1|76,5,True,5
2021-05-15,35,49,44,1,2,35|53,1,True,1
2021-05-15,53,28,44,1,2,35|53,3,False,
2021-05-21,25,30,16,1,3,25|35|83,1,True,1
2021-05-21,35,49,70,1,3,25|35|83,1,True,5
2021-05-21,83,49,30,1,3,25|35|83,3,True,2
2021-05-25,17,34,13,1,4,17|26|53|76,2,True,4
2021-05-25,26,28,34,1,4,17|26|53|76,2,True,7
2021-05-25,53,28,22,1,4,17|26|53|76,3,True,6
2021-05-25,76,34,27,1,4,17|26|53|76,5,True,3
2021-06-02,9,39,63,1,2,9|62,1,True,5
2021-06-02,62,39,75,1,2,9|62,6,False,
2021-06-04,22,44,7,2,2,22|70,1,False,
2021-06-04,70,44,7,2,2,22|70,3,False,
2021-06-07,9,39,90,1,3,9|42|65,1,False,
2021-06-07,42,37,9,2,3,9|42|65,3,True,3
2021-06-07,65,52,37,1,3,9|42|65,1,True,1
2021-06-10,35,49,90,1,2,35|89,1,True,3
2021-06-10,89,48,12,1,2,35|89,2,True,5
2021-06-21,52,38,85,1,2,52|100,4,True,1
2021-06-21,100,38,1,1,2,52|100,6,False,
2021-06-25,7,42,29,1,2,7|44,1,True,2
2021-06-25,44,43,29,2,2,7|44,3,True,2
2021-06-29,42,37,90,1,2,42|53,3,False,
2021-06-29,53,28,90,1,2,42|53,3,False,
2021-06-30,68,47,76,1,2,68|91,3,True,5
2021-06-30,91,44,11,1,2,68|91,5,True,4
2021-07-03,9,39,22,1,3,9|42|46,1,True,3
2021-07-03,42,37,22,1,3,9|42|46,3,True,4
2021-07-03,46,39,19,1,3,9|42|46,5,True,2
2021-07-07,7,42,90,1,4,7|29|68|71,1,True,2
2021-07-07,29,41,42,2,4,7|29|68|71,2,True,5
2021-07-07,68,47,92,1,4,7|29|68|71,3,False,
2021-07-07,71,42,41,2,4,7|29|68|71,7,True,2
2021-07-12,63,38,29,2,2,63|90,5,False,
2021-07-12,90,46,29,2,2,63|90,4,True,6
2021-07-17,7,42,29,1,2,7|50,1,True,1
2021-07-17,50,42,5,1,2,7|50,4,True,6
2021-07-30,35,49,9,1,2,35|90,1,True,3
2021-07-30,90,46,9,1,2,35|90,4,True,4
2021-08-10,7,42,70,1,5,7|23|29|53|71,1,True,1
2021-08-10,23,42,28,1,5,7|23|29|53|71,3,True,6
2021-08-10,29,41,42,2,5,7|23|29|53|71,2,False,
2021-08-10,53,28,42,2,5,7|23|29|53|71,3,True,6
2021-08-10,71,42,41,1,5,7|23|29|53|71,7,True,1
2021-08-13,32,36,45,1,2,32|44,1,True,1
2021-08-13,44,43,22,2,2,32|44,3,False,
2021-08-23,89,48,41,1,2,89|93,2,True,1
2021-08-23,93,41,48,1,2,89|93,3,True,3
2021-08-26,8,40,80,1,3,8|42|72,1,True,2
2021-08-26,42,37,7,1,3,8|42|72,3,False,
2021-08-26,72,40,59,1,3,8|42|72,6,True,1
2021-08-28,26,28,72,1,2,26|73,2,True,5
2021-08-28,73,48,28,1,2,26|73,1,True,7
2021-08-31,9,39,70,2,2,9|30,1,True,1
2021-08-31,30,39,3,1,2,9|30,3,True,7
2021-09-06,22,44,9,1,4,22|35|59|70,1,False,
2021-09-06,35,49,9,2,4,22|35|59|70,1,True,1
2021-09-06,59,44,72,1,4,22|35|59|70,2,True,2
2021-09-06,70,44,9,1,4,22|35|59|70,3,True,1
2021-09-08,44,43,70,1,2,44|92,3,False,
2021-09-08,92,43,68,1,2,44|92,6,False,
2021-09-12,7,42,53,1,3,7|23|73,1,True,6
2021-09-12,23,42,87,1,3,7|23|73,3,True,6
2021-09-12,73,48,87,1,3,7|23|73,1,False,
2021-09-15,29,41,42,1,2,29|71,2,True,1
2021-09-15,71,42,41,1,2,29|71,7,True,2
2021-09-18,63,38,22,1,3,63|97|100,5,True,4
2021-09-18,97,52,93,1,3,63|97|100,2,False,
2021-09-18,100,38,1,1,3,63|97|100,6,False,
2021-09-19,13,41,17,1,2,13|29,1,False,
2021-09-19,29,41,70,1,2,13|29,2,True,6
2021-09-23,53,28,9,1,2,53|84,3,True,5
2021-09-23,84,47,58,1,2,53|84,5,True,3
2021-09-28,8,40,80,1,2,8|67,1,True,1
2021-09-28,67,40,79,2,2,8|67,5,True,1
2021-10-01,28,43,23,1,2,28|44,2,True,3
2021-10-01,44,43,53,1,2,28|44,3,True,5
2021-10-02,29,41,22,1,3,29|35|63,2,True,5
2021-10-02,35,49,22,1,3,29|35|63,1,True,2
2021-10-02,63,38,22,1,3,29|35|63,5,True,2
2021-10-04,9,39,35,2,2,9|11,1,True,2
2021-10-04,11,35,69,1,2,9|11,2,True,7
2021-10-16,26,28,34,1,4,26|53|69|77,2,True,1
2021-10-16,53,28,29,1,4,26|53|69|77,3,True,6
2021-10-16,69,45,91,1,4,26|53|69|77,1,True,4
2021-10-16,77,32,28,1,4,26|53|69|77,1,True,6
2021-10-17,21,28,51,1,3,21|34|37,1,True,2
2021-10-17,34,51,26,1,3,21|34|37,1,True,5
2021-10-17,37,46,82,1,3,21|34|37,1,False,
2021-10-18,12,43,56,1,4,12|30|41|94,1,True,3
2021-10-18,30,39,3,1,4,12|30|41|94,3,False,
2021-10-18,41,39,56,1,4,12|30|41|94,4,True,3
2021-10-18,94,39,84,1,4,12|30|41|94,8,True,1
2021-10-28,51,40,21,1,2,51|87,3,True,5
